QT	Question
Management	Where can we read more information about treatment?
Complication	We are concerned about complications from infection and wanted to know if there is any research related to wound healing in patients with epidermolysis bullosa.
Management	How might this condition be treated?
Information	Where can we find more information?
PersonOrg	Where can we find a place where she can receive emotional support?
Prognosis	What can we expect from here?
Prognosis	What is the prognosis for this condition?
Prognosis	What is the life expectancy for this condition?
Diagnosis	Is genetic testing available for this condition?
Diagnosis	How is this condition diagnosed?
Management	What research is being done to work towards a cure for this?
Susceptibility	Since my family members' cases are so severe, does this mean mine probably would be as well?
Susceptibility	Is my husband at an increased risk for developing this syndrome in the future?
Diagnosis	Is there a genetic test to find out if my wife are affected with Gardner syndrome?
Diagnosis	Is there a genetic test to find out if eventually our children are affected with Gardner syndrome?
Susceptibility	How is this syndrome inherited?
Information	Can you provide me with information about this condition?
Management	Is there any cure for Bardet-Biedl syndrome anywhere in the world?
Management	Is there any treatment for Bardet-Biedl syndrome anywhere in the world?
Susceptibility	I would like to know if it is genetic.
Susceptibility	I would like to know the chance that I may have it.
Susceptibility	I would like to know the chance that my children may have it.
Management	What types of treatment are available for this condition?
Diagnosis	What kind of screening for cancer should I have done?
PersonOrg	What kind of doctor do I need to see?
Information	I can not find a lot of information on this condition, can you help?
Cause	Does this make me more at risk of developing Guillain-Barre syndrome if I have a flu shot?
Manifestation	Is it possible for a baby to show symptoms?
Management	Can the progression of this condition be slowed down?
Management	Can the progression of this condition be managed?
Management	Is that true?
Diagnosis	What type of blood test do I need to have?
Diagnosis	How can I know whether or not my husband are unaffected carriers?
Diagnosis	How can I know whether or not I are unaffected carriers?
Management	We, as a family, are passing through a lot of stress and would be highly obliged if you could let us know if there is any treatment which can be offered now.
Management	We, as a family, are passing through a lot of stress and would be highly obliged if you could let us know if there is any treatment which can be offered in the near future.
Management	We, as a family, are passing through a lot of stress and would be highly obliged if you could let us know if there is any gene therapy which can be offered now.
Management	We, as a family, are passing through a lot of stress and would be highly obliged if you could let us know if there is any gene therapy which can be offered in the near future.
Information	Can you provide me with information?
Management	What is the treatment for this condition?
Information	Do you have information on this condition that I could share with my family?
Information	Are there any clinical studies being conducted for septo-optic dysplasia?
PersonOrg	Are there any foundations that give support to families that are dealing with this illness.
Management	Can this condition be cured?
Management	Is there a treatment?
Management	Is there a cure?
Diagnosis	Is it possible that this genetic test is incorrect?
Management	Is there any treatment?
Cause	What causes this?
Manifestation	Is it possible to be a carrier and not show any outward signs of the syndrome?
Susceptibility	What are the chances of my sister having a child without the defect?
Susceptibility	Is it possible that the genetic defect started with her?
Information	How can I find general information?
Management	How is this condition treated?
Management	Please tell me what I should do.
Cause	I was wondering what causes it.
OtherEffect	I was wondering if it can be a hidden trait.
Management	Can you provide information regarding treatment?
Information	Can you provide information regarding research?
Information	My niece has been diagnosed with Wiedemann-Rautenstrauch syndrome and I was wondering what is known about the syndrome.
OtherEffect	Could you please confirm that this is true?
OtherEffect	Could you please confirm that ALL the kids with this syndrome will be mentally disabled?
PersonOrg	Could you put me in touch with other families who have experience with this syndrome?
Management	Is there any cure for this condition?
Prognosis	Will this happen again?
Diagnosis	With the IVF method can the genotype be detected before the woman gets pregnant?
Diagnosis	How early can the amniocentesis test be conducted during pregnancy?
Management	How can we avert giving birth to a SS child?
Management	Is there a way to make sure that we do not have a child with the condition?
Diagnosis	During the pregnancy, are there any tests that could tell us whether the baby will have sickle cell anemia?
Susceptibility	What is the likelihood of having a child without beta-thalassemia?
Management	How might this condition be treated?
Management	Can any type of procedure help my partner's heart issues?
Management	Can any type of intervention help my partner's heart issues?
Manifestation	Can carriers of SGBS manifest some signs of the condition?
Manifestation	Can carriers of SGBS manifest some symptoms of the condition?
Prognosis	Should we expect other body areas to be affected?
Cause	How does the genetic mutation cause this condition?
Management	Could any heart abnormalities be corrected?
Prognosis	What are the potential long term effects on cardiac function?
Prognosis	Is there information regarding prognosis for individuals with this syndrome?
Prognosis	Is there information regarding life expectancy for individuals with this syndrome?
Information	Can you provide me with information about this condition?
Information	What can you tell me about this condition?
Management	What recommendations do you suggest if behavioral problems do persist?
OtherEffect	Is this common for this syndrome?
Management	Please help us, if there is any cure for Down syndrome.
Management	Can't the extra chromosome be deactivated?
Management	Can't the extra chromosome be delinked from other cells?
Information	Do you have ANY information on these tumors?
Information	Do you know where I can get more information?
OtherEffect	Are there any possible connections?
Susceptibility	Since we had the same parents, what are the chances that I may have this condition?
Susceptibility	What are the chances of my future children having achondroplasia?
Susceptibility	Is ACM so rare two sisters couldn't possible have the same conditions?
Information	What is this condition?
Management	Is there research being conducted?
Management	What treatment is available for this condition?
Management	If so, what can be done to help prevent a flare-up?
Susceptibility	Are my children at risk to develop this condition?
Susceptibility	Is this condition genetic?
PersonOrg	I would also like to connect with people who can help me.
Management	Can you tell me where I can find out about wheelchairs?
Management	Can you tell me where I can find out about exercises?
Management	Can you tell me where I can find out about bathroom accomodations?
Management	I am looking for ways to make her life easier.
Prognosis	Is the disease getting serious?
Management	Is surgery needed?
Management	Could you let us know about treatment methods for this disease?
Management	Can this condition be cured?
Other	How much do they generally cost?
Other	Will the test be covered by my insurance?
Susceptibility	How common is it for a person to have more than one child with the syndrome?
Management	Are there any ways to prevent Williams syndrome?
Susceptibility	Is Williams syndrome inherited?
Management	Are there any other forms of treatment available?
OtherEffect	Would these differences have been due to Gaucher disease?
Information	Can you help me find information about this condition?
Susceptibility	If this condition is traced back to my sister, is it important for me to be tested?
Susceptibility	If this condition is traced back to my sister, is it important for my children (ages 8 to be tested?
Susceptibility	If this condition is traced back to my sister, is it important for 11) to be tested?
Susceptibility	What is the risk that I am a carrier?
Susceptibility	What is the risk that my son has this condition?
OtherEffect	Are these two condition related?
Susceptibility	My son, 9 years old, has been diagnosed with this condition and I am looking for general information on incidence.
Prognosis	My son, 9 years old, has been diagnosed with this condition and I am looking for general information on prognosis.
Management	My son, 9 years old, has been diagnosed with this condition and I am looking for general information on treatment.
Susceptibility	Is it possible for carrier females to have a healthy baby?
Prognosis	How long will it take?
Management	Is it possible for him to overcome this condition by himself?
Information	Could you please send me some information?
Information	What is this syndrome?
Diagnosis	Now that he has seizures could he be classified as having a condition other than 22q11.2 syndrome?
Diagnosis	Now that he has seizures could he be classified as having a condition other than 22q11.2 syndrome, such as hypoparathyroidism retardation dysmorpha syndrome?
Management	How can we treat his seizures?
OtherEffect	Does his condition affect his central nervous system?
OtherEffect	Why?
OtherEffect	Why?
Management	How are infants with achondroplasia treated?
Management	How are children with achondroplasia treated?
OtherEffect	I would like to learn more about langauge development in children with achondroplasia.
OtherEffect	I would like to learn more about motor development in children with achondroplasia.
Information	Can you provide me with information on this topic?
Information	Could you tell me more about this tumor.
Management	How might it be treated?
Management	Can this condition be cured?
Management	How is it treated?
Prognosis	Can an individual with this condition continue to play sports?
Prognosis	Can an individual with this condition continue to participate in physical activities?
Diagnosis	Is this condition easy to diagnose?
Information	Please tell me more about this condition.
Management	Are there any treatments available?
Diagnosis	Is there another test to confirm this diagnosis?
Management	How can I ensure a long life for him?
Management	How can I ensure a healthy life for him?
Prognosis	What is the prognosis for individuals with this condition?
Management	Is there treatment?
Manifestation	What are the symptoms of this condition?
Information	Can you provide me with further information on this condition?
OtherEffect	Are people with this disorder smaller?
OtherEffect	Are people with this disorder below their expected percentile?
Susceptibility	Should other members of my family be tested for this condition?
Information	Please help me find more information.
Management	Please help me find more treatment.
Management	Please help me find more medication.
Susceptibility	Could he still have FMF?
PersonOrg	How can I find a doctor that is familiar with this deficiency?
PersonOrg	How can I find a clinic that is familiar with this deficiency?
Susceptibility	How common is SCOT deficiency?
Diagnosis	What kind of lab results would you expect from a patient with SCOT deficiency while they are in crisis?
Diagnosis	How is the diagnosis of SCOT deficiency confirmed?
Diagnosis	If not, what type of lab work would support a diagnosis of this deficiency?
OtherEffect	Would SCOT deficiency cause abnormal amino acid?
OtherEffect	Would SCOT deficiency cause abnormal organic acid?
OtherEffect	Would SCOT deficiency cause abnormal carnitine results?
OtherEffect	Can you give me more information on this?
Information	I need to know as much as possible about this condition.
Management	For how long is TRT usually done?
Prognosis	Could you possibly clarify this?
Management	Are you able to help?
Information	My son has MPS IIIB, and I would like to know if there is any current research for this condition.
Information	My son has MPS IIIB, and I would like to know if there is any clinical trials for this condition.
Management	How might it be treated?
Susceptibility	Is it genetic?
Information	Could you please tell me about it?
Susceptibility	What is the chance my next child will have NKH if he has a different father?
Cause	What causes this condition?
Management	Could you please provide some information?
Information	Please provide any information that you have with respect to this disease.
Information	Please provide all information that you have with respect to this disease.
Management	My understanding is that there is no cure?
Management	Is there any hope of curing my son's illness?
OtherEffect	When could they affect him?
OtherEffect	What are the neurological effects of triple A syndrome?
OtherEffect	He has Addison's and alacrima, and we want to know if it is likely he will develop achalasia.
Information	Can you provide me with information about this condition?
OtherEffect	My son has not yet been tested, but I would like to know if this disease has an affect on a person's appetite?
OtherEffect	My son has not yet been tested, but I would like to know if this disease has an affect on a person's weight?
Information	Is there any information about Sutton disease 2 that I am somehow missing I am trying to become educated about his disease.
Cause	I am wondering if there is a known cause associated with the disorder.
Management	What treatment options are available?
Diagnosis	I would like to know why it has not been possible to determine which of the two it actually is.
Management	I would like to know why surgical excision will be necessary in the future.
Management	Is there any surgical solution to his condition?
Cause	I was wondering if there is any research out there for a cause.
Cause	I was wondering if it is known what causes it.
Information	I'm just looking for more information about laryngeal cleft.
Susceptibility	If my sister carries the mutation, could she have passed it to her son?
Susceptibility	If my sister carries the mutation, could her son be an unaffected carrier of the mutation?
Management	What kind of surveillance is needed?
Susceptibility	What is the risk for Wilms tumor?
Complication	Does having urinary obstruction increase a person with this syndrome's risk for developing Wilms' tumor?
Manifestation	What urological symptoms are associated with Beckwidth Weidemann syndrome?
OtherEffect	If not, what percentage of patients does it affect?
OtherEffect	I would like to know if hemihypertrophy always happens?
Diagnosis	Is there any other condition that this could be mistaken for?
Information	How close is this to angular cheilitis?
Management	Are the symptoms curable?
Management	Is this curable?
Management	Is there anything that we can do for him?
Prognosis	Will this condition be with him for the rest of his life?
Information	How can we find out if this diabetes is transient or permanent?
Prognosis	I want to know what the lifespan is of babies with this illness.
Information	I was just wondering if you had any information on this gene being completely missing.
Information	My son was diagnosed with Opitz G/BBB syndrome and I was wondering if you can provide any information about this syndrome.
Information	My son was diagnosed with osteogenesis imperfecta type 6 and I would like to know more information about this condition.
Cause	Could you tell me what else could cause pyruvate kinase deficiency?
Information	Any information would be greatly appreciated.
OtherEffect	Are these differences common?
Management	Are there any ongoing studies?
Management	Is there any work being done on finding a cure?
Susceptibility	What are the actual numbers of how many Americans have this?
Prognosis	Do you recommend any restrictions to his playing high school sports?
OtherEffect	As a parent is there anything I should be concerned about?
Cause	Is it possible that he got this after having his neck and back aligned by a chiropractor?
Information	What information can you provide about this condition?
Prognosis	If not, is there any chance of him leading a full life or will he develop end stage renal disease before he has a chance to get old and gray?
Prognosis	Can his liver repair itself and begin producing the missing enzyme?
Prognosis	Is this something that he can eventually outgrow?
PersonOrg	I would like to find a doctor in my area who specializes in this condition.
Diagnosis	Would a blood test from her father indicate if it came from his side of the family?
Susceptibility	I was wondering if her mother carries the gene that causes this disease?
Susceptibility	I was wondering if her father carries the gene that causes this disease?
Prognosis	What impact will this have on the progression of the disease?
OtherEffect	Is this due to Waardenburg syndrome?
Information	What can you tell me about this condition?
Information	I'd like to learn as much as possible about the condition.
Management	My two girls have WHIMS and I need to know what kind of treatment they can get.
Management	Could you please provide me with information about how this condition might be treated?
Prognosis	Could you please provide me with information about what the prognosis is for individuals with it?
Information	Could you please help my uncle?
Management	Has ketoconazole been proven to work successfully in boys with testotoxicosis?
Information	What is known about this chromosomal abnormality?
Management	What treatment options might be available for her now?
PersonOrg	How can I find a specialist?
Information	Can you help?
Information	Can you provide us with information on this condition?
Prognosis	What is the prognosis for individuals with this condition?
Diagnosis	Is it possible that she has it?
Management	The specialist is recommending surgery; are there any other treatment options?
Management	What else can we do?
OtherEffect	Are there other things we should be watching for?
Management	Is there something more we should be doing?
Management	Is there something more we should be doing such as diet supplements?
Management	Is there something more we should be doing such as other medications?
Management	Is there a newer therapy for this condition?
Management	Is there a newer treatment for this condition?
Information	I am looking for any available information about this disorder.
Information	I am looking for all available information about this disorder.
Susceptibility	I would like to know if this condition has a genetic element.
Management	Is there any help for hearing impairment?
Management	How can we help pancreatic insufficiency, which helps with growth?
Management	What are the different surgeries that can treat pars planitis?
Prognosis	Once an individual with pars planitis loses vision, can they get it back?
Management	Once someone has this condition, is there anything that can be done to correct the problems caused by the genetic mutation?
Management	How is this condition treated?
Prognosis	Do children with this condition recover from the high levels of ammonia?
Prognosis	What is the prognosis for an individual who has not been treated promptly?
Management	Is it too late for treatment to be effective?
PersonOrg	Should we seek medical advice regarding these possibilities?
Diagnosis	Is myself a carrier?
Diagnosis	Is my husband a carrier?
Information	Can you provide us with information about Fazio Londe syndrome?
Susceptibility	I am asking if it is a hereditary disease.
Information	What can you provide us?
Susceptibility	What are the chances of any further children we may have suffering from the same condition?
Complication	As his grandmother, I would like to know what are the health risks down the road for him.
Management	As his grandmother, I would like to know how we can help him live with this disease.
Information	Our grandson was diagnosed recently with this disease and I am wondering if you could send me information on it.
Other	We are totally confused.
PersonOrg	Are there any support groups for people with this condition?
Information	Please could you send me any information you have on Filippi syndrome?
Information	Please could you let me know where I can obtain information on it?
Information	Please help me understand fetal.
Information	Please help me understand neonatal alloimmune thrombocytopenia.
Prognosis	Please help me understand what might happen in future pregnancies.
Information	Please provide information about deafness, progressive with stapes fixation (Thies Reis syndrome).
Manifestation	Please provide information about deafness, progressive with stapes fixation (Thies Reis syndrome), including symptoms.
Cause	Please provide information about deafness, progressive with stapes fixation (Thies Reis syndrome), including causes.
Management	Please provide information about deafness, progressive with stapes fixation (Thies Reis syndrome), including treatment.
Prognosis	Please provide information about deafness, progressive with stapes fixation (Thies Reis syndrome), including prognosis.
Information	I have loved ones with this condition and need help finding information.
PersonOrg	I have loved ones with this condition and need help finding support.
Information	Please provide me with information for HERNS.
PersonOrg	Please provide me with supportive resources for HERNS.
Management	Please send me any information regarding treatment for this rare disease.
Information	Please send me any information regarding clinical trials for this rare disease.
Management	The pain is getting unbearable at times and I am looking for any kind of treatments that may help my condition.
Information	Please send me any information you have regarding lipodermatosclerosis.
Information	Please send me information on Von Hippel Lindau disease.
Information	Please send us literature regarding SHORT syndrome.
Prognosis	Is it life threatening?
Information	Please tell me something about this.
Information	Where can I find information regarding this disease?
Information	Where can I find information regarding its occurrence with a similar presentation?
Information	Where can I find answers regarding this disease?
Information	Where can I find answers regarding its occurrence with a similar presentation?
Information	Please tell me what you know about Marchiafava Bignami disease.
Susceptibility	What are the chances of passing on this condition to any children we may have?
Information	I am desperately looking for more information.
Information	Has this horrible condition not captured the eye of the research community?
Susceptibility	Are there truly only a handful of cases?
Manifestation	Since Usher syndrome is a ciliopathy, will my daughter who has it exhibit symptoms of other ciliopathies?
Management	If not, what kind of measures should we take to keep the child in good health?
Management	Can this condition be cured at present?
Information	I would like to know more about it.
Information	I would like to learn more about this condition.
Management	I would like to learn more about how we might be able to help him.
PersonOrg	Who can help us with this endeavor?
Management	What steps can we take to be better prepared for this disease?
Manifestation	What are the symptoms of familial adenomatoous polyposis (FAP)?
Other	Am I a candidate for disability?
Management	Should I be under a doctors care regularly?
Information	I would like to learn more about this condition.
Cause	I would like to learn more about this condition, including it's causes.
Manifestation	I would like to learn more about this condition, including it's symptoms.
Management	I would like to learn more about this condition, including it's treatment.
Prognosis	I would like to learn more about this condition, including it's prognosis.
Management	How is this condition usually treated?
Information	Could you please provide me some information?
Diagnosis	Is genetic testing available?
Diagnosis	How is it diagnosed?
Susceptibility	How is this condition inherited?
Prognosis	Can you please let me know the life expectancy we can expect?
Prognosis	Can you please let me know the quality of life we can expect?
Information	Can you please provide me with information about this rare disease?
Diagnosis	Do these individuals have COACH syndrome?
Information	I would like any information you might have on this type of tumor.
Diagnosis	Can I have genetic testing done to determine my risk to have children with this condition?
Susceptibility	Is this condition inherited?
Prognosis	What can the life expectancy be?
Management	Two questions if I may: Is there any know medications that can be used for this condition?
Management	Two questions if I may: Is there any know treatment that can be used for this condition?
OtherEffect	Has anyone with this condition ever had heart issues?
Susceptibility	Is there a genetic component?
Susceptibility	Are my prodigy at higher risk of contracting fibrosing mediastinitis?
Susceptibility	Can I become re-infected by another encounter with H. capsulatum fungus?
Prognosis	I was wondering how long he might have to live.
Prognosis	I was wondering how bad the disease will get over time.
Susceptibility	What are the chances of this syndrome occurring in our next baby?
Susceptibility	My question is, can the child be a carrier if only one parent has the defective gene?
PersonOrg	How can we find a health professional to discuss this in more detail?
Information	Where can we find additional information?
Management	Is there treatment?
Prognosis	I was wondering if you could give us some information on what to expect.
Prognosis	I was wondering if you could give us some information on the prognosis for this.
Prognosis	I was wondering if you could give us some information on what we have to look forward to with him.
Diagnosis	Is genetic testing available to individuals at risk?
Susceptibility	Are his siblings at risk to have inherited this condition?
Prognosis	If so, how?
Prognosis	Do you know if this is a life-limiting condition?
Other	What about siblings of people with Bardet-Biedl syndrome?
Prognosis	What are other issues that might come up as our son grows up with Leber congenital amaurosis?
Complication	What are risk factors for AL amyloidosis?
Management	What are some treatment options for an adolescent with this syndrome, ASD (autism spectrum disorder), and no intellectual disability displaying challenging behaviours?
Manifestation	What are some of the behavioural characteristics of this syndrome if any?
Manifestation	What are some of the signs associated with trisomy 18p?
Manifestation	What are some of the symptoms associated with trisomy 18p?
Susceptibility	What are the chances of having alpha 1-antitrypsin deficiency and panniculitis?
Susceptibility	What are the chances of having a normal baby after having a baby diagnosed with Fryns syndrome?
Management	Can a vaginal delivery be perfomed or will a C-section be necessary?
Susceptibility	What are the chances of passing osteogenesis imperfecta on to a child while pregnant?
Manifestation	What are the common symptoms of complex regional pain syndrome?
Other	How much do they cost?
Diagnosis	What are the current genetic tests for cystic fibrosis?
Management	What are the dietary recommendations for individuals with Barrett syndrome?
Management	Is there any medication for treatment of non-cancerous vulvar leukoplakia?
Diagnosis	Is biopsy necessary?
Manifestation	What are the early signs of cancer of the vulva if my sister has had leukoplakia there for 12 years?
NotDisease	How does the new system range compare to the former process?
Prognosis	What is the long term prognosis of an individual who has been diagnosed with polymyositis?
Management	Is it feasible that polymyositis patients can eventually be medication free for this particular autoimmune disease?
NotDisease	What are the long term effects of being on Imuran?
Management	What are the new treatments options for cri du chat syndome?
Management	What are the experimental treatments options for cri du chat syndome?
Manifestation	What are the presenting complaints of central post-stroke pain?
OtherEffect	What are the associated anomalies?
Susceptibility	How is this condition inherited?
Manifestation	What are the presenting features of Potter syndrome type 1?
Information	What are the staging levels for this illness?
Management	What are the recommendations for palliative care for myalgic encephalomyelitis?
Cause	What genes cause this condition?
Manifestation	What are the signs of familial hypercholesterolemia?
Manifestation	What are the symptoms of familial hypercholesterolemia?
Manifestation	What are the signs of systemic lupus erythematosus (SLE)?
Manifestation	What are the symptoms of systemic lupus erythematosus (SLE)?
Manifestation	What are the signs for hypoplastic anemia?
Manifestation	What are the symptoms for hypoplastic anemia?
Management	What are the treatment for hypoplastic anemia?
Prognosis	What are the prognosis for hypoplastic anemia?
OtherEffect	If the condition is not treated, can it spread to the other eye?
Management	Is it possible to treat this condition with existing laser technology?
Management	What are the suggested treatments for Chandler's syndrome?
Manifestation	What are the symptoms for this disease?
Management	What are the possible treatments for this disease?
Manifestation	What are the symptoms for individuals with CDG Ix?
Prognosis	What are the prognosis for individuals with CDG Ix?
Manifestation	What are the symptoms of cat scratch disease?
Manifestation	What are the symptoms of Gilbert syndrome?
OtherEffect	Is MASS syndrome related to Marfan syndrome?
Manifestation	What are the symptoms of MASS syndrome?
Manifestation	What are the symptoms of microcystic adnexal carcinoma?
Manifestation	What symptoms can I anticipate for my teenage son as he enters adulthood?
OtherEffect	How does this syndrome affect adults?
Manifestation	What are the symptoms of orofaciodigital syndrome type 6?
Management	What are the treatments for Fanconi Bickel syndrome?
Management	What can one do for this condition?
Cause	What can cause a person to have such a condition?
Information	What can you tell me about acute intermittent porphyria?
Information	What can you tell me about Chester porphyria?
Susceptibility	Is it always inherited?
Cause	What causes Alport syndrome?
Prognosis	What are the long term affects even after repair?
Susceptibility	How many infants are diagnosed with this?
Susceptibility	Is this a hereditary condition?
Cause	What causes an infant to be born with this condition?
Susceptibility	Can it be inherited?
Complication	Are there any risk factors for this disease?
Cause	What causes a pineoblastoma?
Susceptibility	Is it inherited?
Cause	What causes autoimmune polyglandular syndrome type 2?
Prognosis	What is the prognosis?
Management	How is it treated?
Manifestation	What are the signs?
Manifestation	What are the symptoms?
Susceptibility	Who is most commonly affected?
Diagnosis	How is it diagnosed?
Cause	What causes Binswanger's disease?
Information	How can I learn more about research?
Diagnosis	Is genetic testing for this syndrome available?
Cause	What causes Brown-Vialetto-Van Laere syndrome?
Susceptibility	In particular I'm interested in learning more about the role of genetics.
Cause	In particular I'm interested in learning more about possible links to radiation exposure.
Cause	In particular I'm interested in learning more about possible links to drug exposure.
Information	How can I learn about research on this topic?
Cause	What causes Chiari malformation type 1?
Cause	What causes Down syndrome?
Manifestation	What are the symptoms?
Cause	What causes Ehlers-Danlos syndrome?
Cause	What causes Erdheim-Chester disease?
Prognosis	What was the oldest that live with the disorder?
Prognosis	How long do you live with it?
Cause	What causes essential thrombocythemia?
Susceptibility	If a child is affected, is his siblings at risk to develop it as well?
Susceptibility	If a child is affected, is her siblings at risk to develop it as well?
Susceptibility	Is it inherited?
Cause	What causes Ewing's sarcoma?
Cause	What causes Hashimoto's encephalitis?
Cause	Was it environmental or genetic factors?
Cause	What causes hepatocellular carcinoma in children?
Susceptibility	In particular I'm interested in learning more about the role of genetics.
Cause	In particular I'm interested in learning more about possible links to radiation exposure.
Cause	In particular I'm interested in learning more about possible links to drug exposure.
Information	How can I learn about research on this topic?
Cause	What causes hereditary spherocytosis?
Cause	What causes idiopathic juxtafoveal retinal telangiectasia?
Cause	Is it due to environmental exposures?
Susceptibility	Is it genetic?
Cause	What causes mixed connective tissue disease?
Cause	What causes pilomatrixomas?
Management	How is it treated?
Cause	What causes scleromyxedema?
Prognosis	What are some possible outcomes of Zellweger syndrome?
Information	What is the status of current research on the syndrome?
Susceptibility	If so, what ethnicity?
Susceptibility	Is the disorder more commonly found in a particular population?
Diagnosis	What may indicate a person has Zellweger syndrome?
OtherEffect	What happens to a person suffering from Zellweger Syndrome?
Cause	What causes the disorder?
Cause	What causes this to happen?
Complication	What are the risks to the mother?
Complication	What are the risks to the baby?
Complication	What complications, if any, could happen if a person with polycystic kidney disease becomes pregnant?
Susceptibility	Is this condition hereditary?
Diagnosis	What distinguishes Lucey-Driscoll syndrome from other causes of jaundice?
Information	What does it mean to have a chromosome 1q42.4-qter duplication?
Manifestation	What does myasthenia gravis do to my body?
Cause	Could it be a toxin breathed in during pregnancy?
Cause	Could it be something you ate?
Cause	Could it be something you drank?
Cause	What environmental factors can cause this?
Management	If so, is there any kind of treatment that can cure it?
OtherEffect	Does any of the other people that have it have a problem with excessive sweating?
Prognosis	What have been the affects of TRPS in the later years in life?
Information	What information can you provide about Floating-Harbor syndrome?
OtherEffect	What is the average adult height?
Management	If so, what are the results?
Management	Is HGH treatment used for people with this condition?
Susceptibility	What is the prevalence?
Information	What information do you have on acromicric dysplasia?
Information	What information is available for Eisenmenger syndrome?
Information	Is there any research?
Management	Is there any new treatment currently in trials that is available to treat this disease?
Management	How is it best treated?
Information	What is acute myelomonocytic leukemia?
Management	How might it be treated?
Cause	What causes it?
Information	What is adenoameloblastoma?
Susceptibility	How common is it?
Information	What is a hemangioendothelioma?
Cause	What causes it?
Information	What is Askin's tumor?
Diagnosis	How is it different from bilateral perisylvian polymicrogyria in how it presents?
Diagnosis	How is it different from bilateral perisylvian polymicrogyria in what symptoms we see?
Manifestation	What are its symptoms?
Information	What is bilateral frontoparietal polymicrogyria?
PersonOrg	How can I find a specialist?
Information	How can I learn more about this condition?
Information	What is branchiootorenal syndrome?
Cause	Are there products other than cigarette tobacco associated with Buerger disease?
Information	What is Buerger disease?
Prognosis	What is the prognosis?
Management	Can it be treated?
Cause	How does it happen?
Information	What is Canavan disease?
Management	What kind of therapies can we get for a child with this condition?
Information	What is caudal regression syndrome?
Susceptibility	How common is it?
Prognosis	What are the expected outcomes for individuals with cryoglobulinemia?
Management	How might it be treated?
Diagnosis	How is it diagnosed?
Information	What is cryoglobulinemia?
Diagnosis	Is there a genetic test for this condition?
Information	What is currently known about Hallermann-Streiff syndrome?
Prognosis	What is the prognosis?
Management	How is it treated?
OtherEffect	How does it affect your health?
Information	What is double inferior vena cava?
Management	How is it treated?
Manifestation	What are the symptoms?
Information	What is Ehlers-Danlos syndrome vascular type?
OtherEffect	What are the unusual facial features associated with the syndrome?
Information	What is empty sella syndrome?
Susceptibility	How rare is it?
Other	What is the average length of time between the beginning of symptoms and diagnosis?
Diagnosis	Why is it difficult to diagnose?
Information	What is epithelioid sarcoma?
OtherEffect	Has any link been established between a family history of arthritis and FMF?
OtherEffect	Is there any connection between fibromyalgia and FMF?
Information	What is familial Mediterranean fever (FMF)?
Information	What is gray platelet syndrome?
Manifestation	What are the symptoms of this condition?
Information	What is HLH?
Information	What is hypomelanosis of Ito?
Management	What type of treatment is currently available?
Management	Is there any research being done to discover a cure?
Information	What is known about monilethrix?
Susceptibility	What is known about the inheritance of laryngomalacia?
Information	What's the difference between "osteochondrosis" and "osteonecrosis??
Information	What is Kohler disease?
Information	What is limbic encephalitis?
Information	What is lipid storage myopathy?
Information	What is Meesmann corneal dystrophy?
Management	How is atrophoderma of Pierini and Pasini treated?
Information	What is morphea and atrophoderma of Pierini and Pasini?
Management	What is most effective treatment for lichen planopilaris?
Management	What is most effective cure for lichen planopilaris?
Information	What is mucinous adenocarcinoma of the appendix?
Susceptibility	How can this be?
Information	What is multiple familial trichoepithelioma?
Information	Are there any research studies?
PersonOrg	Are there any support groups?
Cause	What causes it?
Information	What is PFAPA (periodic fever, aphthous stomatitis, pharyngitis, cervical adenitis) syndrome?
OtherEffect	Does this condition cause physiologic functional impairment?
Information	What is Poland syndrome?
Susceptibility	If so, how is it transmitted?
Susceptibility	Can it be transmitted to others?
Prognosis	What is the disease course without treatment?
Management	How is it treated?
Complication	Can it turn malignant?
Anatomy	Does it spread to other parts of the body?
Information	What is porokeratosis of Mibelli?
Information	What is reflex sympathetic dystrophy?
Cause	What causes it?
Information	What is Shwachman-Diamond syndrome?
Management	How might this condition be treated?
Information	What is sialidosis type I?
Management	How can I learn more about treatment?
Information	What is Sommer Hines syndrome?
Susceptibility	How many cases of cobalamin C deficiency are there in the U.S.?
Prognosis	What is the average life expectancy of an individual with methylmalonic aciduria?
Prognosis	Is this normal?
Management	What is the best pain management regimen for a 50-year-old with hemoglobin sickle-beta thalassemia experiencing sickle cell crisis?
Management	Are there any trials?
Management	Are there any dietary changes I should make?
Management	What is the best treatment?
Prognosis	What is the prognosis?
Management	What is the best treatment for a 3 year old who has arginase deficiency?
Management	What is the best treatment for Rosai-Dorfman?
Cause	What is the cause of Vogt-Koyanagi-Harada syndrome?
Management	Will surgery benefit my child?
Management	How might Klumpke paralysis be treated?
Prognosis	What is the chance for children with Klumpke paralysis to recover arm strength?
Prognosis	What is the chance for children with Klumpke paralysis to recover arm mobility?
Prognosis	What is the chance for children with Klumpke paralysis to recover hand strength?
Prognosis	What is the chance for children with Klumpke paralysis to recover hand mobility?
Diagnosis	Is there additional genetic testing that could be performed?
Susceptibility	What is the chance of having another child with Angelman syndrome if a mother has a translocation of chromosomes 15 and 7?
Susceptibility	What is the chance that a sibling of a child with Diamond-Blackfan anemia will also have the condition in a family with no prior history of Diamond-Blackfan anemia?
Susceptibility	For example, if a parent has been diagnosed with multiple myeloma, what is the risk to a child?
